timestamp,symbol,structure,spot_price,front_dte,back_dte,front_expiry,back_expiry,atm_strike,atm_delta,atm_ff,atm_iv_front,atm_iv_back,atm_fwd_iv,atm_iv_source_front,atm_iv_source_back,call_strike,put_strike,call_delta,put_delta,call_ff,put_ff,min_ff,combined_ff,call_front_iv,call_back_iv,call_fwd_iv,put_front_iv,put_back_iv,put_fwd_iv,iv_source_call_front,iv_source_call_back,iv_source_put_front,iv_source_put_back,earnings_conflict,earnings_date,avg_options_volume_20d,earnings_source,skip_reason
2025-10-20T08:05:41.043422+00:00,INTC,double,37.63,32,88,2025-11-21,2026-01-16,,,,,,,,,42.50,35.50,0.3487,-0.3553,0.280671,0.456425,0.280671,0.368548,0.804332,0.697331,0.628055,0.743991,0.606086,0.510833,greeks,greeks,greeks,greeks,,2025-10-23,43891.14,skipped,
2025-10-20T08:05:41.043422+00:00,ORCL,double,293.47,60,88,2025-12-19,2026-01-16,,,,,,,,,330.00,280.00,0.3529,-0.3731,0.299526,0.276368,0.276368,0.287947,0.579205,0.540318,0.445705,0.550494,0.515566,0.431297,greeks,greeks,greeks,greeks,,2025-12-08,26403.81,skipped,
2025-10-20T08:05:41.043422+00:00,SMCI,double,53.59,32,88,2025-11-21,2026-01-16,,,,,,,,,61.00,50.00,0.3566,-0.3468,0.259258,0.360532,0.259258,0.309895,0.880444,0.770045,0.699177,0.847573,0.71288,0.622972,greeks,greeks,greeks,greeks,,2025-08-05,19542.53,skipped,
2025-10-20T08:05:41.043422+00:00,AMD,double,237.36,32,60,2025-11-21,2025-12-19,,,,,,,,,260.00,225.00,0.3649,-0.3539,0.256657,0.333107,0.256657,0.294882,0.677262,0.616585,0.538939,0.65694,0.586085,0.492788,greeks,greeks,greeks,greeks,,2025-11-04,32639.99,skipped,
2025-10-20T08:05:41.043422+00:00,AMD,double,237.36,32,88,2025-11-21,2026-01-16,,,,,,,,,260.00,225.00,0.3649,-0.3539,0.255942,0.350562,0.255942,0.303252,0.677262,0.593161,0.539247,0.65694,0.554527,0.486419,greeks,greeks,greeks,greeks,,2025-11-04,32639.99,skipped,
2025-10-20T08:05:41.043422+00:00,GM,double,58.31,60,88,2025-12-19,2026-01-16,,,,,,,,,62.50,55.00,0.3485,-0.3215,0.24455,0.380419,0.24455,0.312485,0.367178,0.345858,0.295029,0.369725,0.340627,0.267835,greeks,greeks,greeks,greeks,,2025-10-21,15811.99,skipped,
2025-10-20T08:05:41.043422+00:00,SMCI,double,53.59,32,60,2025-11-21,2025-12-19,,,,,,,,,61.00,50.00,0.3566,-0.3468,0.243519,0.339248,0.243519,0.291383,0.880444,0.804593,0.708026,0.847573,0.755016,0.632872,greeks,greeks,greeks,greeks,,2025-08-05,19542.53,skipped,
2025-10-20T08:05:41.043422+00:00,WBD,double,18.23,32,60,2025-11-21,2025-12-19,,,,,,,,,20.00,17.00,0.3708,-0.3326,0.393318,0.234639,0.234639,0.313978,0.708348,0.623072,0.50839,0.727157,0.666244,0.588964,greeks,greeks,greeks,greeks,,2025-11-06,16915.52,skipped,
2025-10-20T08:05:41.043422+00:00,CSCO,double,70.15,60,88,2025-12-19,2026-01-16,,,,,,,,,75.00,67.50,0.3062,-0.3471,0.2324,0.262788,0.2324,0.247594,0.288422,0.272297,0.234033,0.285406,0.26794,0.226012,greeks,greeks,greeks,greeks,,2025-11-12,15761.48,skipped,
2025-10-20T08:05:41.043422+00:00,NVDA,double,184.48,32,60,2025-11-21,2025-12-19,,,,,,,,,197.50,175.00,0.3493,-0.3353,0.221052,0.343186,0.221052,0.282119,0.493834,0.454309,0.404434,0.507688,0.451813,0.377973,greeks,greeks,greeks,greeks,,2025-11-19,311158.79,skipped,
